fase,inn_normalizado,inns_originais,nome_anvisa,tarja_atual,tarja_ia_sugerida,classificacao,motivos_auditoria,n_produtos_afetados
1,1% + ac + acetato retinol + adenosina + betacaroteno + cianocobalamina 0 + ferroso + inositol + nicotinamida + nitrato tiamina + panax ginseng c. a. mey. + pantotenato cálcio + riboflavina + selenato sódio,"NICOTINAMIDA;CIANOCOBALAMINA 0,1%;BETACAROTENO;PANAX GINSENG C. A. MEY.;ACETATO DE RETINOL;PANTOTENATO DE CÁLCIO;RIBOFLAVINA;INOSITOL;FUMARATO FERROSO;SELENATO DE SÓDIO;ADENOSINA;NITRATO DE TIAMINA;AC",GERIATON,,Sem tarja,"Suplemento vitamínico, mineral e fitoterápico","Composição listada contém elementos incoerentes: '1% + ac', 'cianocobalamina 0', 'nitrato tiamina' sugerem digitação incorreta ou dados corrompidos; Adenosina em suplemento vitamínico é incomum e requer verificação; Dose, frequência e apresentação não foram informadas, mas 'como_tomar' foi preenchido com suposição específica ('uma vez ao dia'); Panax ginseng é fitoterápico, não vitamina; sua inclusão em 'complexo vitamínico' é imprecisa; Indicado apenas para 'adultos' é restritivo; suplementos vitamínicos geralmente são indicados para 'ambos' (adultos e crianças) com ajuste de dose",1
1,acarbose,ACARBOSE,Aglucose,vermelha,Tarja vermelha sem retenção,inibidor de alfa-glicosidase (hipoglicemiante oral),"Tarja vermelha é incorreta para acarbose — medicamento não controlado, deve ser Sem tarja; Acarbose não é medicamento de tarja vermelha (controlado/psicotrópico/entorpecente); Indicação restrita a 'adultos' é imprecisa — acarbose pode ser usada em crianças com diabetes tipo 2, embora raro; Faltam apresentação e concentração na resposta original — 'como_tomar' deveria ser genérico; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",1
1,acebrofilina,ACEBROFILINA,MELYSSE,vermelha,Tarja vermelha sem retenção,mucolítico expectorante,"Tarja incorreta: acebrofilina é um mucolítico que requer prescrição médica (Tarja amarela), não é isento de prescrição (Sem tarja); Confiança na tarja declarada como 'alta' é inadequada dado o erro factual; Campo 'indicado_para' com valor 'ambos' é vago e potencialmente perigoso sem especificar faixa etária mínima para crianças; Falta informação sobre apresentação e concentração específicas do produto MELYSSE; Dados de posologia genéricos demais sem referência à bula real; Classificador sugeriu Sem tarja e auditor sugeriu Tarja amarela; revisão manual obrigatória.",33
1,aceponato metilprednisolona,ACEPONATO DE METILPREDNISOLONA,ADVANTAN,vermelha,Tarja vermelha sem retenção,corticosteroide tópico de potência moderada (classe III),"Tarja vermelha é incorreta para corticosteroide tópico de potência moderada; deve ser Sem tarja; INN correto é 'aceponato de metilprednisolona', não 'aceponato metilprednisolona'; Dose e frequência (1 a 2 vezes ao dia) inventadas sem apresentação e concentração específicas; Indicado para ambos é impreciso; corticosteroides tópicos têm restrições em crianças menores de 2 anos; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",5
1,acetato alfa tocoferol + acetato tocoferol + cânfora + levomentol + mentol + nonivamida + salicilato etilenoglicol + salicilato metila + timol,"SALICILATO DE ETILENOGLICOL, SALICILATO DE METILA, LEVOMENTOL, MENTOL, ACETATO DE ALFA TOCOFEROL, CÂNFORA, TIMOL, ACETATO DE TOCOFEROL, NONIVAMIDA",Salonpas,vermelha,Tarja vermelha sem retenção,"Analgésico tópico com ação rubefaciente, anti-inflamatória local e revulsiva","Tarja vermelha informada no sistema foi alterada para 'Sem tarja' sem justificativa adequada; Salonpas é produto tópico OTC mas a discrepância com o sistema requer verificação; Duração de uso (8 a 12 horas) e número de adesivos por dia não foram apresentados na entrada original; informação inventada; Indicação restrita apenas a 'adultos' é imprecisa; produtos tópicos analgésicos geralmente indicados para adultos e crianças acima de certa idade, necessário verificar bula; Nonivamida é agente rubefaciente potente; sua presença em formulação tópica requer confirmação de classificação e possível restrição de uso em crianças pequenas; Salicilato metila em adesivo transdérmico pode ter absorção sistêmica relevante; necessário confirmar se realmente é 'Sem tarja' ou se deveria ser 'Tarja amarela'; Classificador sugeriu Sem tarja e auditor sugeriu Tarja amarela; revisão manual obrigatória.",16
1,acetato ciproterona,ACETATO DE CIPROTERONA,ANDROCUR,vermelha,Tarja vermelha com retenção,Antiandrogênico (hormonal); antagonista de receptores de andrógeno,Tarja vermelha sem retenção está incorreta; acetato de ciproterona é Tarja vermelha COM retenção (medicamento controlado); Indicação para câncer de próstata é válida mas incompleta; falta mencionar síndrome do ovário policístico (SOP) como indicação principal em mulheres; Campo 'indicado_para' restrito a 'adultos' é impreciso; deve ser 'adultos' mas com ressalva clara sobre contraindicação absoluta em gestantes; Falta informação sobre possível aumento de risco tromboembólico quando associado a contraceptivos hormonais; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.,4
1,acetato ciproterona + etinilestradiol,"ACETATO DE CIPROTERONA, ETINILESTRADIOL; ACETATO DE CIPROTERONA;ETINILESTRADIOL; ETINILESTRADIOL, ACETATO DE CIPROTERONA",Ferane 35,vermelha,Tarja vermelha com retenção,antiandrogênico + contraceptivo hormonal combinado,"Campo 'indicado_para' contém valor fora do enum exigido ('mulheres em idade reprodutiva' não é uma das opções válidas); Tarja classificada como 'vermelha sem retenção', mas acetato de ciproterona + etinilestradiol é contraceptivo hormonal combinado, que deve ser 'Tarja amarela' conforme RDC 60/2016; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",34
1,acetato ciproterona + valerato estradiol,"ACETATO DE CIPROTERONA;VALERATO DE ESTRADIOL; VALERATO DE ESTRADIOL, ACETATO DE CIPROTERONA",CLIMENE,vermelha,Tarja vermelha com retenção,hormônio combinado (progestágeno + estrogênio) para reposição hormonal,"Campo 'indicado_para' contém valor fora do enum exigido ('mulheres em menopausa ou perimenopausa' não é uma das opções: adultos, crianças, ambos ou gestantes com cautela); Tarja vermelha sem retenção é questionável para hormônio combinado de reposição; verificar se não seria Tarja amarela (prescrição simples) ou se realmente é vermelha; Falta informação sobre apresentação e concentração específicas do produto CLIMENE para validar posologia; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",4
1,acetato clormadinona + etinilestradiol,"ACETATO DE CLORMADINONA, ETINILESTRADIOL; ACETATO DE CLORMADINONA;ETINILESTRADIOL",LIBERFEM,vermelha,Tarja vermelha com retenção,contraceptivo hormonal combinado (progestágeno + estrogênio),"Campo 'indicado_para' contém valor fora do enum exigido ('mulheres em idade reprodutiva' não é uma das opções válidas); Informação original menciona acetato de ciproterona, mas a entrada declara acetato de clormadinona — possível confusão entre princípios ativos; Tarja 'vermelha sem retenção' é questionável para contraceptivo oral; contraceptivos hormonais combinados típicos são Tarja amarela (prescrição simples); Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",30
1,acetato dexametasona + clemastina + dexametasona,"FUMARATO DE CLEMASTINA, DEXAMETASONA, ACETATO DE DEXAMETASONA",Emistin,vermelha,Tarja vermelha com retenção,Corticosteroide + anti-histamínico (combinação tópica),"Princípio ativo listado contém 'acetato dexametasona' que é redundante/incorreto - dexametasona já é o INN, não 'acetato dexametasona'; Combinação tópica de corticosteroide + anti-histamínico é incomum e requer verificação - clemastina é sistêmica, não tópica; Resposta candidata omitiu 'acetato dexametasona' do INN identificado sem justificativa; Tarja vermelha sem retenção é questionável para combinação corticosteroide tópica - deveria ser 'Sem tarja' se for uso tópico simples; Indicado apenas para adultos contradiz uso comum em dermatoses pediátricas (com cautela); Faltam apresentação e concentração - 'como_tomar' deveria ser genérico; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",1
